year,avg_temp
1820,19.11
1821,19.57
1822,20.05
1823,19.62
1824,20.19
1825,20.44
1826,20.17
1827,20.83
1828,20.41
1829,20.00
1830,20.72
1831,19.25
1832,19.89
1833,20.32
1834,20.56
1835,18.62
1836,19.01
1837,19.68
1838,18.77
1839,19.68
1840,19.85
1841,19.88
1842,20.12
1843,19.84
1844,20.05
1845,19.68
1846,20.24
1847,19.45
1848,19.70
1849,20.35
1850,20.14
1851,20.03
1852,19.81
1853,19.22
1854,19.87
1855,19.55
1856,19.15
1857,19.52
1858,19.99
1859,20.22
1860,20.31
1861,20.47
1862,20.53
1863,20.01
1864,19.55
1865,20.15
1866,20.01
1867,20.75
1868,19.80
1869,19.45
1870,19.95
1871,20.44
1872,19.71
1873,19.67
1874,20.37
1875,19.81
1876,19.90
1877,19.60
1878,20.04
1879,20.48
1880,19.82
1881,20.14
1882,20.47
1883,20.26
1884,19.92
1885,19.51
1886,19.25
1887,19.97
1888,19.58
1889,19.79
1890,20.60
1891,19.65
1892,19.82
1893,20.14
1894,20.16
1895,19.26
1896,20.48
1897,20.29
1898,19.62
1899,19.73
1900,20.04
1901,19.87
1902,20.34
1903,19.04
1904,20.05
1905,19.67
1906,20.08
1907,20.80
1908,20.57
1909,20.60
1910,20.31
1911,20.96
1912,19.45
1913,19.58
1914,19.49
1915,20.05
1916,20.65
1917,19.96
1918,20.18
1919,19.74
1920,19.93
1921,21.29
1922,20.78
1923,20.41
1924,19.79
1925,20.59
1926,19.92
1927,21.39
1928,20.07
1929,19.99
1930,19.85
1931,20.44
1932,20.31
1933,21.66
1934,20.96
1935,20.69
1936,19.57
1937,20.29
1938,20.95
1939,20.82
1940,19.46
1941,20.19
1942,19.99
1943,20.19
1944,20.49
1945,20.86
1946,20.72
1947,19.95
1948,20.52
1949,20.74
1950,21.16
1951,20.93
1952,20.30
1953,20.72
1954,21.23
1955,20.82
1956,21.07
1957,20.79
1958,20.01
1959,19.91
1960,19.75
1961,19.84
1962,20.57
1963,20.49
1964,20.28
1965,20.73
1966,19.77
1967,20.56
1968,19.53
1969,20.43
1970,19.82
1971,20.95
1972,20.39
1973,20.12
1974,20.39
1975,20.29
1976,19.39
1977,20.49
1978,19.82
1979,19.39
1980,20.48
1981,20.63
1982,20.65
1983,19.38
1984,20.61
1985,20.39
1986,20.91
1987,20.17
1988,20.37
1989,19.94
1990,21.30
1991,20.59
1992,20.38
1993,20.10
1994,20.69
1995,20.78
1996,20.74
1997,20.14
1998,21.74
1999,21.65
2000,21.34
2001,20.64
2002,20.67
2003,20.69
2004,20.98
2005,21.23
2006,21.46
2007,20.71
2008,21.01
2009,21.11
2010,20.43
2011,21.69
2012,21.86
2013,22.28
